no,tgl_iklan,url,harga,kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
11,04-01-2021,https://www.rumah.com/listing-properti/dijual-puri-mansion-oleh-andre-tjhia-17916617,3400000000,Jakarta ,120,160,5,4,0,0,1,1,2200,SHM,Puri Mansion,"Andre Tjhia- Puri Mansion depan taman dan kolam, Puri Indah Puri Media
                                    Kode Listingan : RJ2997AT20        

( Mohon Sebutkan Kode Listing atau Capture iklannya)        

        

Luas Tanah                                  : 120 m² / 8x15

Luas Bangunan                          : 160 m² (2 lantai)

Kamar Tidur                                : 4+1

Kamar Mandi                              : 3+1

Sertifikat        : SHM

Hadap        : Timur Utara

        

Jarang ada yang jual dan lokasi langka        

Akses tanah dekat dengan Pintu Masuk dan Keluar tol        

Sertifikat dan surat lain nya lengkap        

        

Andre Tjhia,  Andre Tjhia,  Andre Tjhia         

* Siap membantu Anda *        

        

Hub. ANDRE TJHIA (nego pemilik)        

0819 9523 5999 & 0812 817 2060
                                    "
12,04-01-2021,https://www.rumah.com/listing-properti/dijual-rumah-dalam-cluster-oleh-eva-tha-17701579,1900000000,Jakarta ,192,150,3,2,1,1,0,1,10000,SHM,Rumah dalam Cluster,"Dijual rumah dalam Cluster di Cibubur
                                    Dijual rumah dalam Cluster di Cibubur



Luas tanah 192m²

Luas bangunan 150m²

Bangunan 2 lantai 

Kamar tidur 3+1

Kamar mandi 2+1

Full AC 

Posisi Hook

SHM 

Rumah baru belum pernah di tempati 

Daya listrik 10rb 

Air tanah



Harga 1,9 M nego



*Lingkungan asri nyaman sejuk

*Keamanan One gate system

*4n4/RiaF
                                    "
13,04-01-2021,"Devandra Pro, Rumah Baru Termurah Area Rawamangun Siap Huni Persiapan Lebaran Harga Nego, Jalan C Perikani Area Rawamangun, Rawamangun, Jakarta Timur, DKI Jakarta, 4 Kamar Tidur, 105 m², Rumah dijual, Oleh Dodi Priyanto, Rp 2,2 M, 18409911",2200000000,Jakarta ,114,105,4,3,0,0,1,0,4400,SHM,"Devandra Pro, Rumah Baru Termurah Area Rawamangun Siap Huni Persiapan Lebaran Harga Nego","Jual Cepat Rumah Baru Siap Huni Area Rawamangun Termurah Tanah Luas
Rumah Baru Termurah di Jalan C Perikani Cipinang Rawamangun Jakarta Timur hanya 2unit. Stok Limited

LT : 114m2
LB : 105m2
KT : 4
KM : 3
Listrik : 2200
Hadap : Utara

SellingPoint:
Radius 2KM ke jalan bypass
Radius 2KM ke Pintu tol Rawamangun (tol dalam kota)
Sekolah dalam radius 2KM: SMP SMA Labschool Rawamangun, UNJ, SDN IKIP, Al Azhar Rawamangun

Material
Pintu : Full JATI
Keramik : Granit 80x80
Dinding : hebel
Keramik kmr mandi : Full granit
Plafon : holow galvanish gypsum jayaboard
Genteng : flat beton Mutiara
Sanitary : closet Toto
Keran : Toto ina jaya
Aksesoris listrik : Nero
Kusen : alexindo 3""
Kunci : Paloma
Cat : Mowilex

Harga 2,2M nepis

Minat serius
Hub Dodi
0812-9404-7613
0815-8503-2651"
14,04-01-2021,"Bougenville Residence, Cipayung, Jakarta Timur, DKI Jakarta, 2 Kamar Tidur, 36 m², Rumah dijual, Oleh Eko Sunoto Susilotomo, Rp 642 jt, 18059068",642000000,Jakarta ,55,36,2,0,0,0,0,0,1300,SHM,Bougenville Residence,"Perum Syariah Lokasi Strategis Jakarta Timur Dekat Tol Dan Agrowisata
Insya Allah telah hadir perumahan dengan konsep Syariah Di Kota Jakarta Timur!

Apa Yang Membuat Kami Berbeda?

Insya Allah ini adalah Hunian dengan cara kepemilikan sesuai syariah Islam tanpa RIBA.

Tahukah Anda dosa riba itu?
“Riba memiliki 73 pintu. Dosa yang paling ringan adalah seperti dosa seseorang yang menzinahi ibu kandung sendiri”
-HR. Al-Hakim dan Al-Baihaqi-
Naudzubillah min dzalik.

Jika anda sungguh-sungguh ingin memiliki hunian yang 100% Syariah:
* Tanpa Riba
* Tanpa Sita
* Tanpa Akad Bathil
* Tanpa Denda
* Tanpa Penalti
* Tanpa BI Checking,
maka kini saatnya giliran Anda untuk memiliki hunian syariah di Bougenville Residence Cilangkap.

Perumahan dengan Konsep Syariah. Lokasi Strategis Dekat Gerbang Tol, Terminal, dan Taman Agrowisata. Lingkungan masih asri. Terdapat 35 unit rumah yang dipasarkan. Bisa customized layout dan type 2 lantai.


Fasilitas
✅ One Gate System,
✅ Security 24 jam

Keunggulan Lokasi
✅ ± 12 Menit Gerbang Tol Setu Cilangkap,
✅ ± 15 Menit Terminal Kampung Rambutan,
✅ ± 15 Menit Taman Mini Indonesia Indah,
✅ ± 3 Menit Taman Agro Wisata Cilangkap,
✅ ± 4 Menit Masjid Hijau Nurul Iman Cilangkap,
✅ ± 3 Menit Pom Bensin VIVO Cilangkap,
✅ ± 7 Menit MC Donald Cipayung,
✅ ± 2 Menit ke Balai Besar POM Jakarta,



Tersedia
Rumah type 36/50 s/d 36/80
Harga mulai Rp 600 jt-an

Pembayaran Cash dan KPR Syariah. (Cek Agen apakah Skema KPR masih berlaku)

Dahsyat Bukan?

Tertarik?
Penasaran?

Segera hubungi :
Kami"
15,04-01-2021,"Kafi Terrace, Jl Mohammad Khafi 1 Ciganjur Jakarta Selatan, Ciganjur, Jakarta Selatan, DKI Jakarta, 3 Kamar Tidur, 278 m², Rumah dijual, Oleh Petty Feilnanti, Rp 5,9 M, 17895054",5900000000,Jakarta ,350,278,3,0,0,0,2,0,2200,SHM,Kafi Terrace,"Jual Rumah Kafi Teras
Jual Rumah di Kafi teras
Sarana & Prasarana
Pendingin Ruangan
Balkon
Kamar Tidur
Furnitur Ruang Makan
Garasi
Furnitur Ruang Keluarga
Kolam Pribadi"
16,04-01-2021,"Rumah MURAH Jagakarsa, FREE BIAYA BIAYA, CALL 0812-93734-4148. BEBAS BANJIR, BEBAS LONGSOR, Jl. Setu Babakan Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta, 3 Kamar Tidur, 90 m², Rumah dijual, Oleh Asep Eri Saptari, Rp 1,21 M, 17244871",1210000000,Jakarta ,87,90,3,0,0,0,1,0,2200,SHM,"Rumah MURAH Jagakarsa, FREE BIAYA BIAYA, CALL 0812-93734-4148. BEBAS BANJIR, BEBAS LONGSOR","Dekat Ke Akses Tol Cijago Dan Brigif, Parkir Luas 2 Mobil
CLUSTER SETU BABAKAN
Dijual Rumah di Cluster Exclusive & Limited Siap Bangun dgn Pemandangan Indahnya Danau & Hijaunya Pepohonan, Area Hijau Seluas 30 HA
Kenapa harus Memilih Rumah Dijual Marwah Regency ???
1. Security 24 Jam
2. Two Gate System
3. Akses 2 Mobil dgn Akses 3 Jalan yang mudah
4. Sarana Joging Track, Memancing & Bersepeda yg Luas Mengelilingi Danau yg Dikelilingi Pepohonan Hijau nan Indah Berseri (Ruang Terbuka Hijau yang Luas)
5. Lingkungan Aman Nyaman
6. Lokasi Super Strategis
10 Menit ke Tol Brigif - Andara & Tol Cijago
10 Menit ke Stasiun UP, Stasiun LA & St. UI
3 Menit ke Masjid Nurul Irfan, Kolam Renang
Batoe, Hall Badminton, Puskesmas Kelurahan & Sekolah Al Azhar Assyarif & Pom Bensin.
5 Menit ke ISTN, APP, STTL & Polsek Jagakarsa
6 Menit ke RS Andika, RS Sibroh
7 Menit ke Pasar Timbul & Puskesmas Kecamatan Jagakarsa.
Dan Masih Banyak Lagi Fasilitas Umum yg Terdekat.
Spesifikasi Bangunan ;
1. Pondasi Beton Bertulang
2. Dinding Bata Hebel
3. Kusen Alumunium
4. Daun Pintu Campert
5. Cat Luar : Dulux / setara
6. Cat Dalam : Dulux / Setara
7. Rangka Atap Baja Ringan
8. Genteng Beton Cisangkan / setara
9. Lantai Granite 60 X 60
10. Keramik Kamar Mandi Roman / setara
11. Closet TOTO / setara
12. Listrik 2200
13. Air Sumur Bor

BONUS :
1. Asuransi Rumah
2. CCTV Lingkungan
3. Internet Gratis
4. Torent
5. Kanopi
6. Kitchen Set

System Pembayaran :
- Cash Keras
- KPR Bank Syariah (BSM,BTNS,BNIS)
Pilihan Luas Bangunan Rumah Dijual:
Luas 45m2 (1 Lantai) & 90m2 (2 Lantai)
Pilihan Luas Tanah Kavling Rumah Dijual:
69m2/ 70m2/ 71m2/ 72m2/ 75m2/ 77m2/ 79 m2/ 80m2/ 82m2/ 87m2/ 88m2/ 93m2/ 95m2
Lebar Muka Kavling :
6,10 m2/ 6,50 m2/ 7,00 m2/ 7,75 m2/ 8,00 m2
- Tersedia Tanah Kavling Dijual saja dgn Harga 8,5jt/m2"
17,04-01-2021,"Metland Cyber City, Metland Cyber City, Meruya, Jakarta Barat, DKI Jakarta, 3 Kamar Tidur, 70 m², Rumah dijual, Oleh Purwadi ., Rp 1,8 M, 18151755",1800000000,Jakarta ,72,70,3,2,0,0,1,0,0,SHM,Metland Cyber City,"Rumah 2 Lantai Metland Puri Indah Harga 1.8M Harga Perdana
Dengan ini Metland Cyber City mempersembahkan :
*KAWASAN MODERN ""RUMAH dan RUKO TERBARU""

Lingkungan asri dan hijau dipenuhi dengan pohon taman cluster

Keunggulan Metland Cyber City :
- Kawasan di Boulevard Utama Row 24 Meter
- Suasana Kawasan Romantis
- Sports Club dan Kolam Renang
- 1 Car Port
- 2 Lantai, 3 Kamar Tidur, 2 Kamar Mandi (1 Kamar Mandi di tiap lantai)
- CCTV Kawasan
- Keamanan kawasan 24 jam
- RS Internasional Mandaya (Singapore)
- Toll Jagorawi Exit Karang Tengah

Ada 150 unit rumah dan 30 unit ruko:
Kisaran Harga:

150 Rumah:
- Lebar 6 x 12 = Rp 1.8
- Lebar 7 x 12 = Rp 2
- Lebar 8 x 12 = Rp 2.5

30 Ruko 3 lantai, ukuran 4.5 x 15 harga Rp 3.7 M

Hubungi: PURWADI
081517284575"
18,04-01-2021,"Dijual cepat rumah second clasik, jl.batu.ampar 3, Condet, Jakarta Timur, DKI Jakarta, 6 Kamar Tidur, 300 m², Rumah dijual, Oleh Ris marlina, Rp 3,5 M, 18016223",3500000000,Jakarta ,150,300,5,5,1,1,2,0,3500,SHM,Dijual cepat rumah second clasik,"Dijual Rumah Cepat Second Clasik Condet
Di jual rumah mewah Classik second 2 lantai di dalam cluster diperumahan callista regemcy .condet jaktim

Harga 3.5 M Nego
LT. 150
LB. 300
K.tidur 5 +1
K.mandi 5+1
Listrik 3500 watt
Air jet pump
Carport 2 Kramik Granit Semi furnish
Shm + imb Cash / kpr

Selling poin:
@ Akses 2 mobil
@Bebas banjir
@squrity 24 jam
@ CCTV
@ Dekat sarana pendidikan
@ Dekat akses toll

meetingpoin:
Yayasan Alkhairot"
19,04-01-2021,"Metland Cluster Oxalis, Metland Puri, Puri Indah, Jakarta Barat, DKI Jakarta, 3 Kamar Tidur, 53 m², Rumah dijual, Oleh Purwadi ., Rp 900 jt, 18208811",900000000,Jakarta ,50,53,3,2,0,0,0,0,0,SHM,Metland Cluster Oxalis,"Rumah 2 Lantai Metland Puri Indah Oxalis Harga Perdana
Perumahan Oxalis adalah Perumahan yang mempunyai sistem Cluster dan terletak didalam Kawasan Super Block Metland Puri.

Metland Puri merupakan Kawasan Super Block yang terletak di Samping Jakarta Barat dan Bersebelahan dengan Perumahan Green Lake City serta mempunyai Akses keluar Masuk Toll Karang Tengah (Jakarta-Tangerang-Jakarta).

Hubungi: PURWADI
081517284575"
20,04-01-2021,"RUMAH BARU INERBANG, JL. INERBANG, Kramat Jati, Jakarta Timur, DKI Jakarta, 2 Kamar Tidur, 45 m², Rumah dijual, Oleh Ris marlina, Rp 785 jt, 17671519",785000000,Jakarta ,53,45,2,1,0,0,0,0,1300,SHM,RUMAH BARU INERBANG,"Di Jual Rumah Baru ( Indent ) Di Inerbang Kramat Jati
Di jual rumah inden 1 lantai daerah kramatjati condet jaktim.
Sisa 3 unit, free biaya surat "" kecuali pajak pembeli Air jet pump, Surat SHM + IMB , Bisa Cash / KPR Bank BSM
Selling poin :
@ dekat sarana pendidikan TK. SD.SMP dan SMA
@ dekat halte buswey TMII
@ dekat universitas
@ dekat pintu toll TMMI dan toll Tb simatupang
@ bebas banjir
@ akses 1 mobil ket 50 meter ke jln raya
- Metting poin Alfamidi jln impres 1"
